date,close,sigma,r,strike,dte,tau_years,put_px,put_delta,contracts,cash,portfolio_value,portfolio_delta,rebalanced,rolled,trade_contracts,option_cashflow,cum_hedge_cost
2023-07-17,193.99000549316406,0.2506,0.054900000000000004,165.48999710083007,34,0.09315068493150686,0.07811329838993641,-0.014532888411992406,10.0,-365.035836850596,19112.07801085575,85.4671115880076,False,False,0.0,0.0,479.5062349957642
2023-07-18,193.72999572753906,0.252,0.054900000000000004,165.48999710083007,33,0.09041095890410959,0.077239083006309,-0.014528701124751686,10.0,-365.0907463702443,19085.14790938997,85.47129887524831,False,False,0.0,0.0,479.5062349957642
2023-07-19,195.10000610351562,0.2615,0.054900000000000004,165.48999710083007,32,0.08767123287671233,0.07013418507004143,-0.012982606865668322,10.0,-365.1456641495072,19214.989131272097,87.01739313433168,False,False,0.0,0.0,479.5062349957642
2023-07-20,193.1300048828125,0.2664,0.054900000000000004,165.48999710083007,31,0.08493150684931507,0.10280998661730445,-0.018385394131748556,10.0,-365.2005901896272,19050.609884708927,81.61460586825145,False,False,0.0,0.0,479.5062349957642
2023-07-21,191.94000244140625,0.256,0.055,165.48999710083007,30,0.0821917808219178,0.08869872403697387,-0.01706464757142301,10.0,-365.25562456186736,18917.44334361573,82.93535242857699,False,False,0.0,0.0,479.5062349957642
2023-07-24,192.75,0.2528,0.055099999999999996,183.11249999999998,90,0.2465753424657534,4.508038326105371,-0.2810902472450675,3.557576293737981,-1921.2266720893563,18957.542355932117,0.0,True,True,3.557576293737981,-1603.769028021472,2035.3118292947129
2023-07-25,193.6199951171875,0.2548,0.055099999999999996,183.11249999999998,89,0.24383561643835616,4.295681576385768,-0.269885649535037,3.7052729617999876,-1984.9625058431993,18968.704285624004,0.0,True,False,0.14769666806200643,-63.44578558875252,2098.7576148834655
2023-07-26,194.5,0.2525,0.055099999999999996,183.11249999999998,88,0.2410958904109589,3.956254724501747,-0.255990530920732,3.906394492027723,-2064.830976642417,18930.63818984281,0.0,True,False,0.2011215302277356,-79.56880041625,2178.3264152997153
2023-07-27,193.22000122070312,0.2625,0.055099999999999996,183.11249999999998,87,0.23835616438356164,4.5735417797387825,-0.27900531880708546,3.5841610628628797,-1917.7678996809097,19043.46325902104,0.0,True,False,-0.32223342916484343,147.37480511139088,2030.9516101883244
2023-07-28,195.8300018310547,0.251,0.0552,183.11249999999998,86,0.2356164383561644,3.511542692282596,-0.23613613667361344,4.234845263781869,-2146.5484862414346,18923.535690762114,0.0,True,False,0.6506842009189895,-228.49053507208177,2259.442145260406
2023-07-31,196.4499969482422,0.2586,0.0555,183.11249999999998,83,0.2273972602739726,3.474588078409653,-0.23143251337682136,4.320914055717777,-2177.4332484140564,18968.90609299313,1.4210854715202004e-14,True,False,0.086068791935908,-29.905359838362678,2289.3475050987686
2023-08-01,195.61000061035156,0.2576,0.055400000000000005,183.11249999999998,82,0.22465753424657534,3.607968779245681,-0.24080432342849567,4.15274935998788,-2117.090468908179,18942.20859601385,0.0,True,False,-0.16816469572989678,60.673297196481705,2228.674207902287
2023-08-02,192.5800018310547,0.2766,0.0553,183.11249999999998,81,0.2219178082191781,4.948575960455038,-0.29245973829966887,3.4192740710700837,-1754.4454286816153,19195.60850145432,-1.4210854715202004e-14,True,False,-0.7334752889177967,362.96581823264216,1865.708389669645
2023-08-03,191.1699981689453,0.276,0.055400000000000005,183.11249999999998,80,0.2191780821917808,5.309603744373547,-0.3114147353543446,3.2111518385992417,-1644.2070815793027,19177.78711791308,0.0,True,False,-0.20812223247084205,110.50465848145647,1755.2037311881884
2023-08-04,181.99000549316406,0.24600000000000002,0.055400000000000005,183.11249999999998,79,0.21643835616438356,7.761246704276701,-0.45689209306718503,2.188700603870928,-850.9070320397719,19046.7980521208,-1.4210854715202004e-14,True,False,-1.022451234728314,793.549627581877,961.6541036063114
2023-08-07,178.85000610351562,0.24370000000000003,0.0556,183.11249999999998,76,0.20821917808219179,9.101690140261908,-0.5207738008883369,1.9202194854929302,-606.9327789621528,19025.79210721439,0.0,True,False,-0.2684811183779976,244.3631947987511,717.2909088075603
2023-08-08,179.8000030517578,0.24059999999999998,0.055700000000000006,183.11249999999998,75,0.2054794520547945,8.475572593740466,-0.5031565012797423,1.9874532028435925,-664.0098308496708,19000.470864062398,0.0,True,False,0.0672337173506623,-56.98442521525663,774.2753340228169
2023-08-09,178.19000244140625,0.249,0.0555,183.11249999999998,74,0.20273972602739726,9.548484340272552,-0.5345192624603438,1.8708399682306875,-552.7628399476372,19052.606018173658,-1.4210854715202004e-14,True,False,-0.11661323461290496,111.34796445698522,662.9273695658317
2023-08-10,177.97000122070312,0.2382,0.055400000000000005,183.11249999999998,73,0.2,9.290012450592357,-0.5438470531398183,1.8387522635760405,-523.0372275379864,18982.166036749957,0.0,True,False,-0.03208770465464705,29.809517575260145,633.1178519905716
2023-08-11,177.7899932861328,0.228,0.055400000000000005,183.11249999999998,72,0.19726027397260273,9.034201539005963,-0.5528024432692746,1.8089645083440626,-496.2057621672674,18917.048560974923,0.0,True,False,-0.029787755231977853,26.910858416026723,606.2069935745449
2023-08-14,179.4600067138672,0.2236,0.0556,183.11249999999998,69,0.18904109589041096,7.894509571973458,-0.5201477312495908,1.9225307348695404,-586.0875394598935,18877.656860810897,0.0,True,False,0.11356622652547776,-89.65496623582904,695.861959810374
2023-08-15,177.4499969482422,0.23809999999999998,0.0556,183.11249999999998,68,0.1863013698630137,9.390821483682217,-0.5609880457993528,1.7825691785911382,-454.7414252934725,18964.23716337709,-1.4210854715202004e-14,True,False,-0.13996155627840223,131.43539895888173,564.4265608514922
2023-08-16,176.57000732421875,0.239,0.0556,183.11249999999998,67,0.18356164383561643,9.88423852627976,-0.5809971350086861,1.7211788832401895,-394.1310685255834,18964.123926730474,0.0,True,False,-0.06139029535094864,60.679632244753975,503.74692860673827
2023-08-17,174.0,0.2514,0.0556,183.11249999999998,66,0.18082191780821918,11.762174562775016,-0.6292982731113029,1.5890715781817053,-238.80419228672193,19030.289537245037,0.0,True,False,-0.13210730505848423,155.38691831156623,348.36001029517206
2023-08-18,174.49000549316406,0.2484,0.0555,183.11249999999998,65,0.1780821917808219,11.33864565206251,-0.6230250233013468,1.6050719675770018,-256.98278093473454,19011.951997023112,0.0,True,False,0.016000389395296466,-18.142274564828536,366.5022848600006
2023-08-21,175.83999633789062,0.23850000000000002,0.055700000000000006,183.11249999999998,62,0.16986301369863013,10.121997507848803,-0.6052209016262834,1.6522892671302485,-304.89379553897567,18951.552622663854,-1.4210854715202004e-14,True,False,0.04721729955324672,-47.79333884053137,414.29562370053196
2023-08-22,177.22999572753906,0.2379,0.055700000000000006,183.11249999999998,61,0.16712328767123288,9.246995515804741,-0.5758927321317153,1.7364344854612352,-382.7493723761073,18945.930390432673,0.0,True,False,0.08414521833098676,-77.80904565830454,492.10466935883653
2023-08-23,181.1199951171875,0.2436,0.055700000000000006,183.11249999999998,60,0.1643835616438356,7.302873148616769,-0.4875103618265286,2.051238452149723,-612.705128976584,18997.28780410361,0.0,True,False,0.31480396668848787,-229.89734354074056,722.002012899577
2023-08-24,176.3800048828125,0.2487,0.0558,183.11249999999998,59,0.16164383561643836,9.964878703720785,-0.5926769115332655,1.6872599228017546,-250.09861491142993,19069.2359206067,1.4210854715202004e-14,True,False,-0.3639785293479685,362.7001895711182,359.30182332845885
2023-08-25,178.61000061035156,0.22820000000000001,0.056100000000000004,183.11249999999998,58,0.1589041095890411,8.070979327552493,-0.5517966252759683,1.812261899028239,-351.0258942828822,18972.64699906907,1.4210854715202004e-14,True,False,0.12500197622648446,-100.88883660271644,460.1906599311753
2023-08-28,180.19000244140625,0.2243,0.0558,183.11249999999998,55,0.1506849315068493,7.00020308444644,-0.5178182202402388,1.9311796319875645,-434.43175036590674,18936.433455420665,0.0,True,False,0.1189177329593254,-83.24482810572478,543.4354880369001
2023-08-29,184.1199951171875,0.2195,0.0556,183.11249999999998,54,0.14794520547945206,4.9846425299884345,-0.4189291937867171,2.387038227059235,-661.7271459248864,18940.125592524626,1.4210854715202004e-14,True,False,0.4558585950716705,-227.2292140655025,770.6647021024025
2023-08-30,187.64999389648438,0.2182,0.0556,183.11249999999998,53,0.14520547945205478,3.5811257252340383,-0.3324843057769986,3.007660760597562,-884.0806857343656,18957.99983616936,0.0,True,False,0.6206225335383269,-222.25273205140272,992.9174341538053
2023-08-31,187.8699951171875,0.223,0.0556,183.11249999999998,52,0.14246575342465753,3.587998746251209,-0.32963351196795054,3.0336721349412663,-893.5482447662578,18981.93244862314,0.0,True,False,0.026011374343704485,-9.332877853348256,1002.2503120071535
2023-09-01,189.4600067138672,0.2091,0.0553,183.11249999999998,51,0.13972602739726028,2.714577050392151,-0.28300981483571575,3.533446359733105,-1029.3511978011952,18875.83071327784,0.0,True,False,0.49977422479183886,-135.6675640997454,1137.9178761068988
2023-09-05,189.6999969482422,0.21739999999999998,0.0555,183.11249999999998,47,0.12876712328767123,2.6700131380983834,-0.2797240521221148,3.5749517869970133,-1041.0594629832253,18883.457055776023,-1.4210854715202004e-14,True,False,0.04150542726390816,-11.082003609702161,1148.999879716601
2023-09-06,182.91000366210938,0.2472,0.0555,183.11249999999998,46,0.12602739726027398,5.860260476651234,-0.4558186848281939,2.1938547788511955,-231.85895197573393,19344.797459436613,0.0,True,False,-1.3810970081458178,809.3588211258203,339.64105859078074
